customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total,Cuentas_Diarias
0002-ORFBO,0,Female,0,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,65.6,2.2
0003-MKNFE,0,Male,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,59.9,2.0
0004-TLHLJ,1,Male,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,73.9,2.5
0011-IGKFF,1,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,98.0,3.3
0013-EXCHZ,1,Female,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,83.9,2.8
0013-MHZWF,0,Female,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,69.4,2.3
0013-SMEOE,0,Female,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,109.7,3.7
0014-BMAQU,0,Male,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,84.65,2.8
0015-UOCOJ,0,Female,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,48.2,1.6
0016-QLJIS,0,Female,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,90.45,3.0
0017-DINOC,0,Male,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,45.2,1.5
0017-IUDMW,0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,116.8,3.9
0018-NYROU,0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,68.95,2.3
0019-EFAEP,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,101.3,3.4
0019-GFNTW,0,Female,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,45.05,1.5
0020-INWCK,0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,95.75,3.2
0020-JDNXP,0,Female,0,1,1,34,0,0,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,61.25,2.0
0021-IKXGC,0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.4
0022-TCJCI,1,Male,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,62.7,2.1
0023-HGHWL,1,Male,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.8
0023-UYUPN,0,Female,1,1,0,50,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,25.2,0.8
0023-XUOPT,1,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,94.1,3.1
0027-KWYKW,0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,83.75,2.8
0030-FNXPP,0,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,19.85,0.7
0031-PVLZI,1,Female,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,20.35,0.7
0032-PGELS,1,Female,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0
0036-IHMOT,0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,103.7,3.5
0040-HALCW,0,Male,0,1,1,54,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,20.4,0.7
0042-JVWOJ,0,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,19.6,0.7
0042-RLHYP,0,Female,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,19.7,0.7
0048-LUMLS,0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,91.2,3.0
0048-PIHNL,0,Female,0,1,0,49,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,20.45,0.7
0052-DCKON,0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,115.8,3.9
0052-YNYOT,0,Female,0,0,0,67,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,20.55,0.7
0056-EPFBG,0,Male,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,39.4,1.3
0057-QBUQH,0,Female,0,0,1,43,1,1,No,0,0,0,0,0,0,Two year,1,Electronic check,25.1,25.1,0.8
0058-EVZWM,0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,89.8,3.0
0060-FUALY,0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,94.75,3.2
0064-SUDOG,0,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,20.3,0.7
0064-YIJGF,0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,75.75,2.5
0067-DKWBL,1,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,49.25,1.6
0068-FIGTF,0,Female,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,78.2,2.6
0071-NDAFP,0,Male,0,1,1,25,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,25.5,0.8
0074-HDKDG,0,Male,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,61.6,2.1
0076-LVEPS,0,Male,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,45.0,1.5
0078-XZMHT,0,Male,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,85.15,2.8
0080-EMYVY,0,Female,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,51.45,1.7
0080-OROZO,0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,99.25,3.3
0082-LDZUE,0,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.5
0082-OQIQY,0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,94.2,3.1
0083-PIVIK,0,Male,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,81.25,2.7
0089-IIQKO,0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,99.95,3.3
0093-EXYQL,0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,91.55,3.1
